"id";"L11_score";"L11_p.value";"L11_fdr";"L11_rank";"L11_goodsrna";"L11_lfc";"L51_score";"L51_p.value";"L51_fdr";"L51_rank";"L51_goodsrna";"L51_lfc";"L12_score";"L12_p.value";"L12_fdr";"L12_rank";"L12_goodsrna";"L12_lfc";"L52_score";"L52_p.value";"L52_fdr";"L52_rank";"L52_goodsrna";"L52_lfc"
"Alg2";5,4379e-05;0,00021262;0,166603;25;4;2,4189;0,010899;0,032836;0,957521;664;3;0,8092;3,6527e-05;0,0001165;0,109147;21;3;4,2669;0,024004;0,046581;0,980381;1127;1;2,9353
"Dhx37";0,98289;0,98286;0,999964;19269;0;0;0,070287;0,15796;0,999987;3086;3;1,0041;4,5879e-06;1,7865e-05;0,02929;12;2;5,7357;0,99114;0,99114;0,999963;19300;0;0
"Dolk";0,85045;0,85019;0,999964;16582;0;0;0,63272;0,64662;0,999987;12601;1;0,73893;4,2272e-06;1,4846e-05;0,026553;11;3;4,2188;0,053618;0,10022;0,992092;1976;2;2,2443
"Eif3i";0,0028286;0,010035;0,743375;265;1;4,477;0,013073;0,037769;0,957521;769;1;2,5924;0,95613;0,95608;0,999645;18629;0;0;1,3034e-06;4,2776e-06;0,02104;4;2;5,1488
"Elp2";0,00012907;0,00051357;0,263392;37;4;2,9016;1,557e-06;4,7809e-06;0,009406;10;4;2,0176;0,01056;0,03528;0,905679;757;2;4,2199;0,00073753;0,0027047;0,567296;91;3;2,64
"Elp3";6,3009e-09;2,5163e-07;0,000707;5;4;4,2722;1,0758e-10;2,5163e-07;0,000825;3;4;2,8391;0,00032462;0,0012101;0,432998;53;4;3,5323;2,0726e-06;6,7939e-06;0,026733;5;4;3,0995
"Elp4";0,00038216;0,0014219;0,424782;64;3;2,7412;2,75e-06;9,3102e-06;0,01409;13;4;2,2565;0,0012382;0,0044802;0,591568;149;4;2,9376;8,3041e-05;0,00033441;0,286053;22;4;2,2853
"Elp5";0,00073891;0,0027078;0,532252;100;3;3,0381;1,2291e-06;4,2776e-06;0,009351;9;4;2,3188;7,4622e-05;0,00030069;0,243366;24;4;3,773;4,4642e-05;0,00017438;0,190594;18;4;2,9701
"Elp6";0,00032015;0,0011955;0,398555;59;4;2,8713;2,6869e-11;2,5163e-07;0,000825;2;4;2,7524;0,0014338;0,0051505;0,607329;165;4;3,0914;0,0063911;0,017525;0,881731;390;3;2,2309
"Ext1";1,074e-05;4,0009e-05;0,056223;14;3;3,6626;9,5539e-05;0,00038323;0,233273;32;4;1,5025;4,6477e-07;1,7614e-06;0,00495;7;4;4,7013;4,3021e-06;1,5852e-05;0,05198;6;4;2,9863
"Ext2";5,3918e-07;2,2646e-06;0,00495;9;3;3,8668;7,1889e-08;2,5163e-07;0,000825;6;4;2,2262;3,6554e-05;0,00014418;0,128938;22;4;4,0213;1,8823e-05;7,5236e-05;0,12335;12;4;2,9304
"Extl3";0,0002165;0,0008281;0,34664;47;3;3,1395;0,00013263;0,00052716;0,258995;40;3;2,0175;3,3165e-06;1,233e-05;0,024257;10;4;4,674;5,9067e-08;2,5163e-07;0,00495;1;4;3,4041
"Fam98b";0,22383;0,34958;0,999964;6831;2;1,9484;8,1409e-05;0,00032988;0,220217;29;3;1,8754;1,1666e-05;4,5544e-05;0,059736;15;4;3,8877;0,00014229;0,00056993;0,367135;29;3;2,811
"Fgfr1";4,1491e-07;2,5163e-07;0,000707;8;2;5,225;1,2709e-05;2,3904e-05;0,033593;17;2;2,6172;2,7218e-08;2,5163e-07;0,000825;3;3;5,2878;0,00029543;0,00086635;0,406711;51;2;3,5158
"Grb2";1,1701e-15;2,5163e-07;0,000707;1;4;6,7669;0,25251;0,37639;0,999987;7365;2;0,99533;1,8724e-13;2,5163e-07;0,000825;1;4;6,8547;0,010154;0,026866;0,952377;552;1;3,6993
"Hist1h2bn";0,0017081;0,0061102;0,660322;182;1;4,8556;0,99922;0,99922;0,999987;19597;0;0;2,115e-06;7,2972e-06;0,015952;9;2;6,3755;0,32529;0,35656;0,999963;6971;1;1,766
"Ikbkap";0,0003155;0,0011814;0,398555;58;4;3,2255;3,3507e-09;2,5163e-07;0,000825;4;4;2,373;0,01012;0,033845;0,905679;726;4;2,8603;6,8892e-07;2,2646e-06;0,014851;3;4;3,3643
"Kti12";0,00030704;0,0011482;0,3963;57;3;3,018;2,5531e-06;8,3037e-06;0,013614;12;3;2,5034;0,31411;0,45125;0,999645;8775;1;2,9395;0,017488;0,044752;0,980381;888;3;1,859
"Lysmd1";0,12224;0,23547;0,999964;4557;2;1,8357;0,841;0,84074;0,999987;16406;0;0;1,7747e-06;5,7874e-06;0,014233;8;4;3,5583;0,084858;0,14543;0,992092;2869;1;2,5507
"Med10";3,3196e-06;1,233e-05;0,022052;11;3;3,6919;0,00033695;0,0012498;0,372562;66;3;1,9138;0,0019656;0,0070201;0,692749;198;1;6,005;0,027581;0,061921;0,987889;1222;2;2,3777
"Med12";3,5462e-13;2,5163e-07;0,000707;2;4;4,8841;6,7773e-12;2,5163e-07;0,000825;1;4;2,9334;2,7931e-05;0,00011348;0,109147;19;4;4,0942;0,054146;0,10099;0,992092;1994;2;1,9349
"Med16";0,008902;0,029956;0,907553;646;3;2,2181;2,7691e-07;1,2581e-06;0,003536;7;4;1,9802;0,014255;0,04393;0,93452;919;3;3,2997;0,00056947;0,0021179;0,531048;77;3;2,924
"Med24";1,9086e-05;7,574e-05;0,09934;15;4;3,3048;6,016e-07;2,2646e-06;0,005569;8;4;2,4349;0,0096205;0,032257;0,902888;696;3;3,0413;0,00032061;0,001196;0,42368;54;4;2,8162
"Med25";2,3155e-05;9,587e-05;0,10865;17;4;2,749;7,6336e-06;3,095e-05;0,039895;14;3;2,4892;0,030926;0,07984;0,981127;1587;2;3,6442;0,14924;0,23661;0,992092;4666;2;1,9066
"Mgat1";0,034644;0,086741;0,999964;1687;3;2,0929;8,7112e-05;0,00034699;0,220217;31;4;1,7123;0,045073;0,10891;0,981127;2168;1;4,3065;2,5093e-05;0,00010241;0,127166;15;4;2,6879
"Polr3a";5,1246e-06;1,9375e-05;0,031766;12;2;6,1276;0,92894;0,92904;0,999987;18133;0;0;0,95657;0,9565;0,999645;18637;0;0;0,24838;0,30186;0,999963;5905;1;1,7409
"Ptpn11";1,7755e-12;2,5163e-07;0,000707;3;4;5,8609;8,5578e-06;3,3466e-05;0,039895;15;4;1,8166;1,9969e-11;2,5163e-07;0,000825;2;4;6,418;0,0012928;0,0044158;0,682279;127;3;2,6474
"Pyroxd1";3,8372e-05;0,00015022;0,140736;21;4;3,2005;8,7862e-06;3,4473e-05;0,039895;16;4;1,7476;0,0011467;0,0041536;0,589109;137;2;4,2706;0,011;0,028961;0,959835;584;2;2,3867
"Rpl9";0,97746;0,97759;0,999964;19088;0;0;0,13997;0,24406;0,999987;4746;1;1,6936;0,46525;0,56987;0,999645;11173;1;-0,86448;1,5292e-07;7,5488e-07;0,007426;2;2;5,4255
"Rps18";0,9745;0,97459;0,999964;18995;0;0;0,6168;0,63457;0,999987;12367;1;0,79447;8,0051e-06;3,246e-05;0,049124;13;2;6,1938;0,93769;0,93771;0,999963;18256;0;0
"Rtcb";3,363e-08;2,5163e-07;0,000707;6;4;4,0804;6,1744e-05;0,00024836;0,195446;25;4;1,5509;0,00062955;0,0023202;0,503269;90;2;4,6202;0,033571;0,070841;0,987889;1404;2;2,5101
"Slc35b2";3,0143e-07;1,2581e-06;0,003094;7;4;3,8308;2,1538e-06;7,2972e-06;0,013051;11;4;1,8225;3,6013e-08;2,5163e-07;0,000825;4;4;4,7897;0,0031651;0,0093009;0,835233;218;3;2,8689
"Sos1";2,8437e-06;1,0317e-05;0,020297;10;4;3,4664;1,0886e-08;2,5163e-07;0,000825;5;4;2,6453;7,2688e-08;2,5163e-07;0,000825;6;4;4,7541;1,5579e-05;6,0642e-05;0,108461;11;4;2,6116
"Sox2";1,1863e-11;2,5163e-07;0,000707;4;4;4,4322;3,7163e-05;0,00014569;0,130738;21;4;1,9179;3,6685e-08;2,5163e-07;0,000825;5;4;4,4434;0,014962;0,038635;0,980381;767;1;3,4007
"Tada1";5,6146e-05;0,00022017;0,166603;26;4;2,392;1,7864e-05;7,2217e-05;0,078933;18;4;1,7232;0,0027062;0,0096063;0,768273;246;4;3,1043;0,00015582;0,00061623;0,378868;31;4;2,1872
